timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 22:18:34.203, 0 %, 35, 36, 34.63 W, 34.63 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.227, 0 %, 35, 36, 34.63 W, 34.63 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.247, 0 %, 35, 36, 34.63 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.267, 0 %, 35, 36, 35.03 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.288, 0 %, 35, 36, 35.03 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.308, 0 %, 35, 36, 35.03 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.328, 0 %, 35, 36, 35.03 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.348, 0 %, 35, 36, 35.03 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.369, 0 %, 35, 36, 35.03 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.392, 0 %, 35, 36, 35.03 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.423, 0 %, 35, 36, 35.03 W, 35.03 W, 210 MHz, 1215 MHz
2023/08/24 22:18:34.447, 0 %, 35, 36, 35.03 W, 38.68 W, 1065 MHz, 1215 MHz
2023/08/24 22:18:34.471, 0 %, 35, 36, 38.68 W, 38.68 W, 1065 MHz, 1215 MHz
2023/08/24 22:18:34.490, 0 %, 35, 36, 38.68 W, 38.68 W, 1065 MHz, 1215 MHz
2023/08/24 22:18:34.519, 0 %, 35, 36, 38.68 W, 38.68 W, 1065 MHz, 1215 MHz
2023/08/24 22:18:34.540, 0 %, 35, 36, 38.68 W, 38.68 W, 1065 MHz, 1215 MHz
2023/08/24 22:18:34.559, 0 %, 35, 36, 41.92 W, 41.92 W, 1065 MHz, 1215 MHz
2023/08/24 22:18:34.580, 0 %, 35, 36, 41.92 W, 41.92 W, 1065 MHz, 1215 MHz
