timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 22:20:16.285, 0 %, 43, 44, 64.07 W, 64.07 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.300, 0 %, 43, 44, 64.07 W, 63.40 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.314, 0 %, 43, 44, 63.40 W, 63.40 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.326, 0 %, 43, 43, 63.40 W, 63.40 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.340, 0 %, 43, 43, 63.40 W, 63.40 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.352, 0 %, 43, 44, 63.40 W, 63.40 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.364, 0 %, 43, 43, 63.40 W, 63.40 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.378, 0 %, 43, 43, 63.40 W, 63.40 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.389, 0 %, 43, 44, 63.40 W, 63.40 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.401, 0 %, 43, 44, 63.40 W, 64.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.417, 0 %, 43, 44, 64.12 W, 64.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.428, 0 %, 43, 44, 64.12 W, 64.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.442, 0 %, 43, 43, 64.12 W, 64.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.456, 0 %, 43, 44, 64.12 W, 64.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.472, 0 %, 43, 44, 64.12 W, 64.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.486, 0 %, 43, 44, 64.12 W, 64.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.501, 0 %, 43, 43, 63.88 W, 63.88 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.520, 0 %, 43, 44, 63.88 W, 63.88 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.544, 0 %, 43, 44, 63.88 W, 63.88 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.561, 0 %, 43, 43, 63.88 W, 63.88 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.578, 0 %, 43, 43, 63.88 W, 63.88 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.592, 0 %, 43, 43, 63.88 W, 63.88 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.607, 0 %, 43, 43, 64.11 W, 64.11 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.624, 0 %, 43, 43, 64.11 W, 64.11 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.641, 0 %, 43, 43, 64.11 W, 64.11 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.659, 0 %, 43, 43, 64.11 W, 64.11 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.671, 0 %, 43, 43, 64.11 W, 64.11 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.704, 0 %, 43, 43, 64.11 W, 63.49 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.719, 0 %, 43, 43, 63.49 W, 63.49 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.733, 0 %, 43, 43, 63.49 W, 63.49 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.749, 0 %, 43, 43, 63.49 W, 63.49 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.765, 0 %, 43, 44, 63.49 W, 63.49 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.780, 0 %, 43, 44, 63.49 W, 63.49 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.794, 0 %, 43, 43, 63.49 W, 64.17 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.824, 0 %, 43, 43, 64.17 W, 64.17 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.841, 0 %, 43, 44, 64.17 W, 64.17 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.856, 0 %, 43, 43, 64.17 W, 64.17 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.870, 0 %, 43, 43, 64.17 W, 64.17 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.890, 0 %, 43, 43, 64.17 W, 64.17 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.906, 0 %, 43, 43, 64.17 W, 64.09 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.923, 0 %, 43, 44, 64.09 W, 64.09 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.940, 0 %, 43, 43, 64.09 W, 64.09 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.954, 0 %, 43, 43, 64.09 W, 64.09 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.969, 0 %, 43, 44, 64.09 W, 64.09 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:16.988, 0 %, 43, 43, 64.09 W, 64.09 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.003, 0 %, 43, 43, 64.09 W, 64.09 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.016, 0 %, 43, 43, 63.92 W, 63.92 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.031, 0 %, 43, 43, 63.92 W, 63.92 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.044, 0 %, 43, 43, 63.92 W, 63.92 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.057, 0 %, 43, 43, 63.92 W, 63.92 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.073, 0 %, 43, 43, 63.92 W, 63.92 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.089, 3 %, 43, 43, 63.92 W, 63.92 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.104, 3 %, 43, 43, 63.92 W, 63.92 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.118, 3 %, 43, 43, 63.80 W, 63.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.133, 3 %, 43, 43, 63.80 W, 63.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.146, 3 %, 43, 43, 63.80 W, 63.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.157, 3 %, 43, 43, 63.80 W, 63.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.170, 3 %, 43, 43, 63.80 W, 63.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.182, 3 %, 43, 43, 63.80 W, 63.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.194, 3 %, 43, 43, 63.80 W, 63.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.208, 3 %, 43, 43, 63.80 W, 63.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.220, 3 %, 43, 43, 63.90 W, 63.90 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.234, 3 %, 43, 43, 63.90 W, 63.90 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.249, 3 %, 43, 43, 63.90 W, 63.90 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.260, 3 %, 43, 43, 63.90 W, 63.90 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.274, 3 %, 43, 43, 63.90 W, 63.90 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.289, 3 %, 43, 43, 63.90 W, 63.90 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.300, 0 %, 43, 43, 63.90 W, 63.90 W, 1410 MHz, 1215 MHz
2023/08/24 22:20:17.314, 0 %, 43, 43, 63.90 W, 63.90 W, 1410 MHz, 1215 MHz
