timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 22:19:24.420, 0 %, 41, 42, 63.12 W, 63.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.434, 0 %, 41, 42, 63.12 W, 63.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.446, 0 %, 41, 42, 63.12 W, 63.12 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.459, 0 %, 41, 42, 62.93 W, 62.93 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.471, 0 %, 41, 42, 62.93 W, 62.93 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.484, 0 %, 41, 42, 62.93 W, 62.93 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.498, 0 %, 41, 42, 62.93 W, 62.93 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.509, 0 %, 41, 41, 62.93 W, 62.93 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.522, 0 %, 41, 41, 62.93 W, 62.93 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.536, 0 %, 41, 41, 62.93 W, 62.93 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.547, 0 %, 41, 42, 62.93 W, 62.93 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.562, 0 %, 41, 41, 62.80 W, 62.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.575, 0 %, 41, 41, 62.80 W, 62.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.588, 0 %, 41, 41, 62.80 W, 62.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.606, 0 %, 41, 41, 62.80 W, 62.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.621, 0 %, 41, 41, 62.80 W, 62.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.632, 0 %, 41, 41, 62.80 W, 62.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.648, 0 %, 41, 41, 62.80 W, 62.80 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.669, 0 %, 41, 41, 62.24 W, 62.24 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.684, 0 %, 41, 41, 62.24 W, 62.24 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.699, 0 %, 41, 41, 62.24 W, 62.24 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.713, 0 %, 41, 42, 62.24 W, 62.24 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.728, 0 %, 41, 41, 62.24 W, 62.24 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.743, 0 %, 41, 41, 62.24 W, 62.24 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.759, 0 %, 41, 41, 62.24 W, 63.22 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.774, 0 %, 41, 42, 63.22 W, 63.22 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.798, 0 %, 41, 41, 63.22 W, 63.22 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.829, 0 %, 41, 41, 63.22 W, 63.22 W, 1410 MHz, 1215 MHz
2023/08/24 22:19:24.844, 0 %, 41, 41, 63.22 W, 63.22 W, 1410 MHz, 1215 MHz
