timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/25 05:18:10.948, 0 %, 55, 67, 54.02 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:10.957, 0 %, 55, 67, 54.02 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:10.965, 0 %, 55, 67, 54.02 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:10.972, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:10.992, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.003, 0 %, 55, 66, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.010, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.017, 0 %, 55, 66, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.025, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.033, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.042, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.050, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.057, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.066, 0 %, 55, 67, 54.01 W, 54.02 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.073, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.091, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.099, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.106, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.114, 0 %, 55, 66, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.122, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.130, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.140, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.147, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.154, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.162, 0 %, 55, 67, 54.00 W, 53.92 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.170, 0 %, 55, 66, 54.00 W, 53.99 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.178, 0 %, 55, 66, 54.00 W, 53.99 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.194, 0 %, 55, 67, 54.00 W, 53.99 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.202, 0 %, 55, 67, 54.00 W, 53.99 W, 345 MHz, 1593 MHz
2023/08/25 05:18:11.210, 0 %, 55, 67, 54.00 W, 53.99 W, 345 MHz, 1593 MHz
