timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/25 05:18:31.687, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.693, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.699, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.705, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.711, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.717, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.724, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.729, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.735, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.743, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.748, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.753, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.762, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.768, 0 %, 51, 64, 52.75 W, 52.91 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.773, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.794, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.802, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.808, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.813, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.822, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.828, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.834, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.842, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.848, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.853, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.862, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.868, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.874, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.891, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.896, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.903, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.909, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.914, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.922, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.928, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.933, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.942, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.948, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:31.953, 0 %, 51, 64, 52.70 W, 52.42 W, 345 MHz, 1593 MHz
