timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/25 05:18:56.370, 0 %, 50, 64, 52.34 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.378, 0 %, 50, 63, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.394, 0 %, 50, 63, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.402, 0 %, 50, 63, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.409, 0 %, 50, 63, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.414, 0 %, 50, 64, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.423, 0 %, 50, 64, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.429, 0 %, 50, 64, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.435, 0 %, 50, 64, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.443, 0 %, 50, 63, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.449, 0 %, 50, 64, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.455, 0 %, 50, 63, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.463, 0 %, 50, 64, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.469, 0 %, 50, 64, 52.30 W, 52.42 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.475, 0 %, 50, 64, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.491, 0 %, 50, 63, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.500, 0 %, 50, 64, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.505, 0 %, 50, 64, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.511, 0 %, 50, 63, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.518, 0 %, 50, 64, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.524, 0 %, 50, 64, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.530, 0 %, 50, 64, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
2023/08/25 05:18:56.535, 0 %, 50, 63, 52.25 W, 51.96 W, 345 MHz, 1593 MHz
