timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/25 05:19:23.461, 0 %, 48, 62, 51.40 W, 51.38 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.468, 0 %, 48, 62, 51.40 W, 51.38 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.475, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.492, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.499, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.507, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.513, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.523, 0 %, 48, 61, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.530, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.536, 0 %, 48, 61, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.544, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.550, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.557, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.564, 0 %, 48, 62, 51.40 W, 51.48 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.571, 0 %, 48, 62, 51.40 W, 51.38 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.579, 0 %, 48, 62, 51.39 W, 51.38 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.595, 0 %, 48, 62, 51.39 W, 51.38 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.604, 0 %, 48, 62, 51.39 W, 51.38 W, 345 MHz, 1593 MHz
2023/08/25 05:19:23.610, 0 %, 48, 62, 51.39 W, 51.38 W, 345 MHz, 1593 MHz
