timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/25 05:19:44.992, 0 %, 47, 60, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:44.999, 0 %, 47, 61, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.005, 0 %, 47, 61, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.011, 0 %, 47, 61, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.018, 0 %, 47, 60, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.025, 0 %, 47, 60, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.031, 0 %, 47, 61, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.038, 0 %, 47, 60, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.045, 0 %, 47, 60, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.052, 0 %, 47, 61, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.058, 0 %, 47, 61, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.065, 0 %, 47, 60, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.072, 0 %, 47, 60, 50.92 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.090, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.097, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.104, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.111, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.118, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.125, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.131, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.138, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.145, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.152, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.158, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.166, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.172, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.180, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.196, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.204, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.210, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.216, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.226, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.232, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.239, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.246, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.252, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.259, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.265, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.272, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.280, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.294, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.303, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.310, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.316, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.324, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.332, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.339, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.345, 0 %, 47, 60, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.352, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:19:45.362, 0 %, 47, 61, 50.87 W, 50.86 W, 345 MHz, 1593 MHz
