timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/25 05:20:10.631, 0 %, 48, 62, 51.22 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.636, 0 %, 48, 61, 51.22 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.644, 0 %, 48, 62, 51.22 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.648, 0 %, 48, 61, 51.22 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.654, 0 %, 48, 62, 51.22 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.659, 0 %, 48, 62, 51.22 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.665, 0 %, 48, 61, 51.22 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.671, 0 %, 48, 60, 51.22 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.677, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.693, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.698, 0 %, 48, 62, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.705, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.710, 0 %, 48, 62, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.716, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.724, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.730, 0 %, 48, 62, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.736, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.744, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.750, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.755, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.764, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.769, 0 %, 48, 61, 51.17 W, 50.86 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.775, 0 %, 48, 62, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.795, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.804, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.809, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.814, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.823, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.829, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.834, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.842, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.848, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.853, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.858, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.865, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.870, 0 %, 48, 61, 51.15 W, 50.96 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.876, 0 %, 48, 62, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.892, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.898, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.904, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.910, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.915, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.924, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.929, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.934, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.940, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.946, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.952, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.957, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.964, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.970, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.975, 0 %, 48, 62, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.993, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:10.999, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.005, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.011, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.016, 0 %, 48, 62, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.024, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.029, 0 %, 48, 62, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.035, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.044, 0 %, 48, 62, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.049, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.054, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.064, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.069, 0 %, 48, 61, 51.12 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.075, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.092, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.098, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.105, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.110, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.115, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.149, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.154, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.160, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.166, 0 %, 48, 61, 51.10 W, 50.89 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.173, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.194, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.200, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.207, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.212, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.218, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.225, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.249, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.255, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.264, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.269, 0 %, 48, 61, 51.10 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.275, 0 %, 48, 61, 51.14 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.293, 0 %, 48, 61, 51.14 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.299, 0 %, 48, 61, 51.14 W, 51.35 W, 345 MHz, 1593 MHz
2023/08/25 05:20:11.304, 0 %, 48, 61, 51.14 W, 51.35 W, 345 MHz, 1593 MHz
