timestamp, power.draw.instant [W], clocks.current.sm [MHz]
2023/08/30 15:31:20.822, 77.08 W, 1755 MHz
2023/08/30 15:31:20.826, 77.08 W, 1755 MHz
2023/08/30 15:31:20.839, 77.08 W, 1755 MHz
2023/08/30 15:31:20.842, 77.08 W, 1755 MHz
2023/08/30 15:31:20.846, 77.08 W, 1755 MHz
2023/08/30 15:31:20.851, 77.08 W, 1755 MHz
2023/08/30 15:31:20.855, 77.08 W, 1755 MHz
2023/08/30 15:31:20.858, 77.08 W, 1755 MHz
2023/08/30 15:31:20.862, 77.08 W, 1755 MHz
2023/08/30 15:31:20.865, 77.08 W, 1755 MHz
2023/08/30 15:31:20.870, 77.08 W, 1755 MHz
2023/08/30 15:31:20.874, 77.08 W, 1755 MHz
2023/08/30 15:31:20.878, 77.08 W, 1755 MHz
2023/08/30 15:31:20.881, 77.08 W, 1755 MHz
2023/08/30 15:31:20.885, 77.08 W, 1755 MHz
2023/08/30 15:31:20.890, 77.08 W, 1755 MHz
2023/08/30 15:31:20.894, 77.08 W, 1755 MHz
2023/08/30 15:31:20.898, 77.08 W, 1755 MHz
2023/08/30 15:31:20.901, 77.08 W, 1755 MHz
2023/08/30 15:31:20.905, 77.08 W, 1755 MHz
2023/08/30 15:31:20.910, 77.08 W, 1755 MHz
2023/08/30 15:31:20.914, 77.08 W, 1755 MHz
2023/08/30 15:31:20.917, 77.08 W, 1755 MHz
2023/08/30 15:31:20.921, 77.08 W, 1755 MHz
2023/08/30 15:31:20.924, 77.08 W, 1755 MHz
2023/08/30 15:31:20.940, 77.08 W, 1755 MHz
2023/08/30 15:31:20.943, 77.08 W, 1755 MHz
2023/08/30 15:31:20.950, 77.08 W, 1755 MHz
2023/08/30 15:31:20.954, 77.08 W, 1755 MHz
2023/08/30 15:31:20.957, 77.08 W, 1755 MHz
2023/08/30 15:31:20.961, 77.08 W, 1755 MHz
2023/08/30 15:31:20.964, 77.08 W, 1755 MHz
2023/08/30 15:31:20.970, 77.08 W, 1755 MHz
2023/08/30 15:31:20.974, 77.08 W, 1755 MHz
2023/08/30 15:31:20.977, 77.08 W, 1755 MHz
2023/08/30 15:31:20.981, 77.08 W, 1755 MHz
2023/08/30 15:31:20.984, 77.08 W, 1755 MHz
2023/08/30 15:31:20.990, 77.08 W, 1755 MHz
2023/08/30 15:31:20.994, 77.08 W, 1755 MHz
2023/08/30 15:31:20.997, 77.08 W, 1755 MHz
2023/08/30 15:31:21.001, 77.08 W, 1755 MHz
2023/08/30 15:31:21.004, 77.08 W, 1755 MHz
2023/08/30 15:31:21.011, 77.08 W, 1755 MHz
2023/08/30 15:31:21.014, 77.08 W, 1755 MHz
2023/08/30 15:31:21.018, 77.08 W, 1755 MHz
2023/08/30 15:31:21.021, 77.09 W, 1755 MHz
2023/08/30 15:31:21.026, 77.09 W, 1755 MHz
2023/08/30 15:31:21.039, 77.09 W, 1755 MHz
2023/08/30 15:31:21.042, 77.09 W, 1755 MHz
2023/08/30 15:31:21.046, 77.09 W, 1755 MHz
2023/08/30 15:31:21.051, 77.09 W, 1755 MHz
2023/08/30 15:31:21.055, 77.09 W, 1755 MHz
2023/08/30 15:31:21.058, 77.09 W, 1755 MHz
2023/08/30 15:31:21.062, 77.09 W, 1755 MHz
2023/08/30 15:31:21.065, 77.09 W, 1755 MHz
