timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 13:35:13.410, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.426, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.434, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.440, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.446, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.455, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.461, 0 %, 64, 75, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.467, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.475, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.481, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.487, 0 %, 64, 74, 58.90 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.535, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.541, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.546, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.555, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.560, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.566, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.575, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.581, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.586, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:35:13.595, 0 %, 64, 74, 58.83 W, 58.58 W, 345 MHz, 1593 MHz
