timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 13:40:31.986, 0 %, 64, 73, 59.02 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:40:31.992, 0 %, 64, 73, 59.02 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.000, 0 %, 64, 74, 59.02 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.006, 0 %, 64, 73, 59.02 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.014, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.030, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.039, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.046, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.052, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.059, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.066, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.071, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.080, 0 %, 64, 74, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.086, 0 %, 64, 74, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.092, 0 %, 64, 74, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.100, 0 %, 64, 73, 58.97 W, 58.57 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.106, 0 %, 64, 73, 58.97 W, 58.60 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.114, 0 %, 64, 73, 58.92 W, 58.60 W, 345 MHz, 1593 MHz
2023/08/24 13:40:32.129, 0 %, 64, 74, 58.92 W, 58.60 W, 345 MHz, 1593 MHz
