timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 13:44:34.673, 0 %, 64, 74, 58.94 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.682, 0 %, 64, 73, 58.94 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.689, 0 %, 64, 73, 58.94 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.696, 0 %, 64, 73, 58.94 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.704, 0 %, 64, 73, 58.94 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.711, 0 %, 64, 74, 58.94 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.719, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.734, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.743, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.749, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.756, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.763, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.770, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.776, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.783, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.790, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.797, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.804, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.811, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.819, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.835, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.845, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.852, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.863, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.870, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.878, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.885, 0 %, 64, 73, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.891, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.901, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.908, 0 %, 64, 74, 58.89 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.915, 0 %, 64, 73, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.931, 0 %, 64, 73, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.939, 0 %, 64, 73, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.947, 0 %, 64, 74, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.953, 0 %, 64, 74, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.963, 0 %, 64, 74, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.970, 0 %, 64, 73, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.977, 0 %, 64, 73, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.984, 0 %, 64, 73, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.990, 0 %, 64, 74, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:34.997, 0 %, 64, 73, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.004, 0 %, 64, 74, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.010, 0 %, 64, 73, 58.85 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.017, 0 %, 64, 73, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.033, 0 %, 64, 74, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.043, 0 %, 64, 73, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.050, 0 %, 64, 74, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.056, 0 %, 64, 73, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.063, 0 %, 64, 73, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.070, 0 %, 64, 74, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.076, 0 %, 64, 73, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
2023/08/24 13:44:35.083, 0 %, 64, 73, 58.80 W, 58.58 W, 345 MHz, 1593 MHz
