timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/23 08:08:05.199, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.206, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.216, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.223, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.230, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.237, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.244, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.250, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.258, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.265, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.272, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.278, 0 %, 30, 47, 46.80 W, 47.24 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.285, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.293, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.309, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.317, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.324, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.331, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.338, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.344, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.351, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.359, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.365, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.372, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.380, 0 %, 30, 47, 46.80 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.387, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.405, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.412, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.419, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.425, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.433, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.440, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.447, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.457, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.463, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.471, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.478, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.485, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.506, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.518, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.525, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.532, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.540, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.547, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.557, 0 %, 30, 47, 46.80 W, 46.76 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.582, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.591, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.607, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.617, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.627, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.637, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.644, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.652, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.660, 0 %, 30, 47, 46.80 W, 46.74 W, 345 MHz, 1593 MHz
2023/08/23 08:08:05.668, 0 %, 30, 47, 46.80 W, 46.74 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:05.684, 0 %, 30, 47, 46.80 W, 67.72 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:05.692, 1 %, 30, 47, 48.91 W, 67.72 W, 1755 MHz, 1593 MHz
