timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/23 08:08:11.095, 2 %, 33, 49, 207.38 W, 76.16 W, 1740 MHz, 1593 MHz
2023/08/23 08:08:11.109, 2 %, 33, 49, 207.38 W, 76.16 W, 1740 MHz, 1593 MHz
2023/08/23 08:08:11.118, 2 %, 33, 49, 207.38 W, 76.16 W, 1740 MHz, 1593 MHz
2023/08/23 08:08:11.123, 2 %, 33, 49, 207.38 W, 76.16 W, 1740 MHz, 1593 MHz
2023/08/23 08:08:11.128, 2 %, 33, 49, 207.38 W, 76.16 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.139, 2 %, 33, 48, 207.38 W, 76.16 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.145, 2 %, 33, 49, 207.38 W, 76.16 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.150, 2 %, 33, 49, 207.38 W, 76.16 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.157, 2 %, 33, 49, 207.38 W, 76.16 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.163, 2 %, 33, 49, 207.38 W, 76.16 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.169, 2 %, 33, 49, 207.38 W, 76.16 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.179, 2 %, 33, 49, 207.38 W, 76.16 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.186, 2 %, 33, 49, 207.38 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.192, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.206, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.212, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.218, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.223, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.228, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.237, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.242, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.248, 2 %, 33, 48, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.253, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.259, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.265, 2 %, 33, 48, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.270, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.278, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.283, 2 %, 33, 49, 189.32 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.289, 2 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.306, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.311, 0 %, 33, 48, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.317, 0 %, 33, 48, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.322, 0 %, 33, 48, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.328, 0 %, 33, 48, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.333, 0 %, 33, 48, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.339, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.344, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.349, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.357, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.362, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.367, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.372, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.378, 0 %, 33, 49, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.384, 0 %, 33, 48, 161.15 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.389, 0 %, 33, 49, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.406, 0 %, 33, 48, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.417, 0 %, 33, 49, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.423, 0 %, 33, 49, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.428, 0 %, 33, 49, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.436, 0 %, 33, 49, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.442, 0 %, 33, 48, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.448, 0 %, 33, 48, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.478, 0 %, 33, 49, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.484, 0 %, 33, 48, 141.36 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.504, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.509, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.517, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.522, 0 %, 33, 48, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.528, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.537, 0 %, 33, 48, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.542, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.548, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.559, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.565, 0 %, 33, 48, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.571, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.578, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.583, 0 %, 33, 49, 135.51 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.588, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.605, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.610, 0 %, 33, 49, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.618, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.624, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.629, 0 %, 33, 49, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.637, 0 %, 33, 49, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.643, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.648, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.656, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.661, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.666, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.671, 0 %, 33, 49, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.677, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.683, 0 %, 33, 48, 117.34 W, 76.07 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.688, 0 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.706, 2 %, 33, 48, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.711, 2 %, 33, 48, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.718, 2 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.723, 2 %, 33, 48, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.728, 2 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.736, 2 %, 33, 48, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.742, 2 %, 33, 48, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.747, 2 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.753, 2 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.759, 2 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.764, 2 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.769, 2 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.777, 2 %, 33, 48, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.782, 2 %, 33, 49, 99.56 W, 76.55 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.787, 2 %, 33, 48, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.793, 2 %, 33, 49, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.807, 2 %, 33, 48, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.812, 2 %, 33, 48, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.818, 2 %, 33, 49, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.823, 2 %, 33, 48, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.828, 2 %, 33, 49, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.836, 2 %, 33, 48, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
2023/08/23 08:08:11.842, 2 %, 33, 48, 76.31 W, 76.60 W, 1755 MHz, 1593 MHz
