timestamp, name, uuid, pcie.link.width.current, persistence_mode, addressing_mode, vbios_version, inforom.pwr, inforom.oem, gom.current, fan.speed [%], pstate, clocks_event_reasons.active, clocks_event_reasons.gpu_idle, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.sync_boost, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], utilization.encoder [%], utilization.decoder [%], utilization.jpeg [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.average [W], power.draw.instant [W], power.limit [W], enforced.power.limit [W], power.default_limit [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.video [MHz], gsp.mode.current
2023/07/14 13:40:14.061, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 38, 44, 74.05 W, 74.14 W, 74.86 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 885 MHz, 2619 MHz, 870 MHz, Enabled
2023/07/14 13:40:15.701, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 37, 44, 74.17 W, 74.17 W, 75.19 W, 700.00 W, 700.00 W, 700.00 W, 840 MHz, 840 MHz, 2619 MHz, 855 MHz, Enabled
2023/07/14 13:40:16.755, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 37, 44, 74.50 W, 74.50 W, 74.21 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 840 MHz, 2619 MHz, 840 MHz, Enabled
2023/07/14 13:40:17.711, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 37, 43, 74.32 W, 74.32 W, 75.19 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 885 MHz, 2619 MHz, 885 MHz, Enabled
2023/07/14 13:40:18.910, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 37, 44, 74.47 W, 74.51 W, 74.86 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 885 MHz, 2619 MHz, 840 MHz, Enabled
2023/07/14 13:40:20.209, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 37, 44, 74.98 W, 74.98 W, 74.53 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 885 MHz, 2619 MHz, 825 MHz, Enabled
2023/07/14 13:40:21.237, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 37, 43, 73.77 W, 73.77 W, 74.86 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 885 MHz, 2619 MHz, 810 MHz, Enabled
2023/07/14 13:40:22.229, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 36, 43, 74.00 W, 74.23 W, 74.86 W, 700.00 W, 700.00 W, 700.00 W, 825 MHz, 825 MHz, 2619 MHz, 840 MHz, Enabled
2023/07/14 13:40:23.269, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 36, 43, 74.14 W, 74.14 W, 74.53 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 885 MHz, 2619 MHz, 795 MHz, Enabled
2023/07/14 13:40:24.217, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 36, 43, 74.30 W, 74.30 W, 74.86 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 345 MHz, 2619 MHz, 765 MHz, Enabled
2023/07/14 13:40:25.370, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 36, 43, 73.81 W, 73.81 W, 74.53 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 840 MHz, 2619 MHz, 765 MHz, Enabled
2023/07/14 13:40:26.458, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 36, 43, 74.14 W, 74.14 W, 74.86 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 885 MHz, 2619 MHz, 855 MHz, Enabled
2023/07/14 13:40:27.654, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 4 MiB, 81003 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 36, 42, 74.77 W, 74.76 W, 74.86 W, 700.00 W, 700.00 W, 700.00 W, 885 MHz, 885 MHz, 2619 MHz, 885 MHz, Enabled
2023/07/14 13:40:28.957, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 5 MiB, 81002 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 36, 42, 74.53 W, 74.53 W, 74.86 W, 700.00 W, 700.00 W, 700.00 W, 840 MHz, 840 MHz, 2619 MHz, 780 MHz, Enabled
2023/07/14 13:40:30.043, NVIDIA H800, GPU-deb3f1bc-44cc-a622-e825-35a2cfa67c22, 16, Enabled, None, 96.00.61.00.0B, [N/A], 2.1, [N/A], [N/A], P0, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, 81559 MiB, 550 MiB, 5 MiB, 81002 MiB, 0 %, 0 %, 0 %, 0 %, 0 %, 36, 42, 74.36 W, 74.36 W, 74.53 W, 700.00 W, 700.00 W, 700.00 W, 345 MHz, 345 MHz, 2619 MHz, 765 MHz, Enabled
