timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 14:37:47.387, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.395, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.401, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.408, 0 %, 30, 47, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.415, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.422, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.428, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.436, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.442, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.451, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.468, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.475, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.482, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.488, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.495, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.502, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.509, 0 %, 30, 47, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.516, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.523, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.530, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.536, 0 %, 30, 46, 46.79 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.543, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.550, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.566, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.575, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.581, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.588, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.595, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.602, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.608, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
2023/08/24 14:37:47.616, 0 %, 30, 46, 46.79 W, 46.79 W, 345 MHz, 1593 MHz
