timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 14:19:16.526, 0 %, 42, 56, 49.83 W, 49.88 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.533, 0 %, 42, 56, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.550, 0 %, 42, 57, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.557, 0 %, 42, 56, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.564, 0 %, 42, 57, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.570, 0 %, 42, 57, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.579, 0 %, 42, 56, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.585, 0 %, 42, 57, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.592, 0 %, 42, 57, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.601, 0 %, 42, 57, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.608, 0 %, 42, 57, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.614, 0 %, 42, 56, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.622, 0 %, 42, 56, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.629, 0 %, 42, 57, 49.83 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.636, 0 %, 42, 56, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.653, 0 %, 42, 57, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.662, 0 %, 42, 56, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.668, 0 %, 42, 56, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.675, 0 %, 42, 57, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.682, 0 %, 42, 56, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.689, 0 %, 42, 56, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.696, 0 %, 42, 57, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.703, 0 %, 42, 57, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.709, 0 %, 42, 56, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.716, 0 %, 42, 57, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.724, 0 %, 42, 56, 49.82 W, 49.79 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.730, 0 %, 42, 56, 49.82 W, 49.88 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.737, 0 %, 42, 56, 49.83 W, 49.88 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.751, 0 %, 42, 57, 49.83 W, 49.88 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.757, 0 %, 42, 56, 49.83 W, 49.88 W, 345 MHz, 1593 MHz
2023/08/24 14:19:16.764, 0 %, 42, 57, 49.83 W, 49.88 W, 345 MHz, 1593 MHz
