timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 14:39:35.034, 0 %, 58, 69, 55.67 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.042, 0 %, 58, 69, 55.67 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.050, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.069, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.076, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.083, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.091, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.099, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.106, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.116, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.123, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.130, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.138, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.145, 0 %, 58, 69, 55.62 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.164, 0 %, 58, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.172, 0 %, 58, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.180, 0 %, 58, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.187, 0 %, 58, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.196, 0 %, 58, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.203, 0 %, 58, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.210, 0 %, 57, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.218, 0 %, 57, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.226, 0 %, 57, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.236, 0 %, 57, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.243, 0 %, 57, 69, 55.61 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.251, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.271, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.278, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.286, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.296, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.302, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.309, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.316, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.323, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.329, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.336, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.343, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.350, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.367, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.376, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.383, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.389, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.396, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.403, 0 %, 57, 68, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.409, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.416, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.423, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.429, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.438, 0 %, 57, 69, 55.57 W, 55.49 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.445, 0 %, 57, 69, 55.57 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.465, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.476, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.483, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.490, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.497, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.504, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.510, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.517, 0 %, 57, 68, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.523, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.530, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.538, 0 %, 57, 68, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.545, 0 %, 57, 69, 55.52 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.564, 0 %, 57, 69, 55.48 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.577, 0 %, 57, 69, 55.48 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.584, 0 %, 57, 69, 55.48 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.591, 0 %, 57, 69, 55.48 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.599, 0 %, 57, 69, 55.48 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.606, 0 %, 57, 69, 55.48 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.615, 0 %, 57, 69, 55.48 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.643, 0 %, 57, 68, 55.48 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.653, 0 %, 57, 68, 55.47 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.669, 0 %, 57, 69, 55.47 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.677, 0 %, 57, 68, 55.47 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.685, 0 %, 57, 69, 55.47 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.696, 0 %, 57, 69, 55.47 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.702, 0 %, 57, 69, 55.47 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.709, 0 %, 57, 69, 55.47 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.716, 0 %, 57, 68, 55.47 W, 55.42 W, 345 MHz, 1593 MHz
2023/08/24 14:39:35.724, 0 %, 57, 69, 55.47 W, 55.42 W, 1755 MHz, 1593 MHz
2023/08/24 14:39:35.736, 0 %, 57, 69, 55.47 W, 55.42 W, 1755 MHz, 1593 MHz
2023/08/24 14:39:35.743, 0 %, 58, 68, 55.47 W, 83.29 W, 1755 MHz, 1593 MHz
2023/08/24 14:39:35.750, 0 %, 58, 68, 58.44 W, 83.29 W, 1755 MHz, 1593 MHz
2023/08/24 14:39:35.766, 0 %, 58, 69, 58.44 W, 83.29 W, 1755 MHz, 1593 MHz
2023/08/24 14:39:35.775, 0 %, 58, 68, 58.44 W, 83.29 W, 1755 MHz, 1593 MHz
2023/08/24 14:39:35.781, 0 %, 58, 68, 58.44 W, 83.29 W, 1755 MHz, 1593 MHz
2023/08/24 14:39:35.788, 0 %, 58, 69, 58.44 W, 83.29 W, 1755 MHz, 1593 MHz
2023/08/24 14:39:35.796, 0 %, 58, 68, 58.44 W, 83.29 W, 1755 MHz, 1593 MHz
