timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 14:40:32.680, 0 %, 58, 70, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.687, 0 %, 58, 69, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.693, 0 %, 58, 69, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.700, 0 %, 58, 69, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.706, 0 %, 58, 70, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.713, 0 %, 58, 70, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.720, 0 %, 58, 69, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.726, 0 %, 58, 70, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.732, 0 %, 58, 70, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.738, 0 %, 58, 68, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.745, 0 %, 58, 70, 56.09 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.753, 0 %, 58, 69, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.767, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.776, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.782, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.788, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.797, 0 %, 58, 69, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.802, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.808, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.816, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.822, 0 %, 58, 69, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.828, 0 %, 58, 68, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.837, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.842, 0 %, 58, 70, 56.08 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.848, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.866, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.872, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.879, 0 %, 58, 70, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.885, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.890, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.897, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.928, 0 %, 58, 70, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.936, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.942, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.948, 0 %, 58, 70, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.965, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.974, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.979, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.985, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.991, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:32.998, 0 %, 58, 70, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.003, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.009, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.017, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.022, 0 %, 58, 70, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.029, 0 %, 58, 69, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.037, 0 %, 58, 70, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.043, 0 %, 58, 70, 56.03 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.048, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.066, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.072, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.078, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.084, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.089, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.097, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.102, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.109, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.117, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.123, 0 %, 58, 68, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.128, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.137, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.142, 0 %, 58, 69, 55.94 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.148, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.165, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.170, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.177, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.184, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.190, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.201, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.207, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.213, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.220, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.226, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.232, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.239, 0 %, 58, 69, 55.94 W, 55.45 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.244, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.270, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.278, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.284, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.290, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.297, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.303, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.309, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.317, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.323, 0 %, 58, 69, 55.95 W, 56.03 W, 345 MHz, 1593 MHz
2023/08/24 14:40:33.328, 0 %, 58, 69, 55.95 W, 56.03 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.343, 0 %, 58, 69, 55.95 W, 56.03 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.349, 0 %, 58, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.365, 0 %, 58, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.371, 0 %, 58, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.377, 0 %, 58, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.382, 0 %, 58, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.388, 0 %, 58, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.396, 0 %, 58, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.402, 0 %, 58, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.407, 0 %, 59, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.416, 0 %, 59, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.421, 0 %, 59, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.427, 0 %, 59, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.437, 0 %, 59, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.443, 0 %, 59, 69, 58.28 W, 76.99 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.449, 0 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.465, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.471, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.477, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.482, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.488, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.496, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.501, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.507, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.512, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.518, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.523, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.529, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.539, 2 %, 59, 69, 61.89 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.545, 2 %, 59, 69, 61.89 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.552, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.566, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.572, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.578, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.584, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.589, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.597, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.602, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.608, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.616, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.621, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.626, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.637, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.643, 2 %, 59, 69, 64.60 W, 92.07 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.649, 2 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.669, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.677, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.682, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.687, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.696, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.701, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.707, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.712, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.718, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.724, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.729, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.739, 1 %, 59, 69, 69.11 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.744, 1 %, 59, 69, 69.11 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.751, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.766, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.772, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.778, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.783, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.789, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.796, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.802, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.807, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.815, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.821, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.826, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.836, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.842, 1 %, 59, 69, 72.74 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.847, 1 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.868, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.876, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.882, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.887, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.892, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.899, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.904, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.909, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.917, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.922, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.928, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.938, 2 %, 59, 69, 74.48 W, 92.22 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.944, 2 %, 59, 69, 74.48 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.950, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.966, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.972, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.978, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.983, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.989, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:33.996, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.002, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.007, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.016, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.021, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.026, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.037, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.042, 2 %, 59, 69, 79.98 W, 92.12 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.048, 2 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.065, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.071, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.077, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.082, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.087, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.096, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.101, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.107, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.112, 1 %, 58, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.119, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
2023/08/24 14:40:34.124, 1 %, 59, 69, 81.08 W, 91.68 W, 1755 MHz, 1593 MHz
