timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 14:41:23.886, 0 %, 59, 69, 56.24 W, 55.91 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.893, 0 %, 59, 69, 56.24 W, 55.91 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.901, 0 %, 59, 70, 56.24 W, 55.91 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.908, 0 %, 59, 69, 56.24 W, 55.91 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.917, 0 %, 59, 69, 56.24 W, 55.91 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.924, 0 %, 59, 69, 56.24 W, 55.91 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.932, 0 %, 59, 70, 56.24 W, 55.91 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.939, 0 %, 59, 69, 56.24 W, 55.91 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.946, 0 %, 59, 69, 56.24 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.954, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.968, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.977, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.984, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.991, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:23.999, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:24.005, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:24.013, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:24.020, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:24.026, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:24.034, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
2023/08/24 14:41:24.042, 0 %, 59, 69, 56.22 W, 55.94 W, 345 MHz, 1593 MHz
