timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/24 14:42:36.182, 0 %, 61, 72, 57.41 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.189, 0 %, 61, 71, 57.41 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.198, 0 %, 61, 71, 57.41 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.205, 0 %, 61, 71, 57.41 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.211, 0 %, 61, 72, 57.41 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.219, 0 %, 61, 72, 57.41 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.226, 0 %, 61, 71, 57.41 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.238, 0 %, 61, 72, 57.41 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.245, 0 %, 61, 71, 57.41 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.253, 0 %, 61, 71, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.272, 0 %, 61, 71, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.280, 0 %, 61, 72, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.286, 0 %, 61, 72, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.292, 0 %, 61, 72, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.299, 0 %, 61, 72, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.305, 0 %, 61, 71, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.312, 0 %, 61, 72, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.319, 0 %, 61, 71, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.326, 0 %, 61, 72, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.338, 0 %, 61, 72, 57.40 W, 57.50 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.345, 0 %, 61, 71, 57.40 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.353, 0 %, 61, 72, 57.37 W, 57.01 W, 345 MHz, 1593 MHz
2023/08/24 14:42:36.368, 0 %, 61, 72, 57.37 W, 57.01 W, 345 MHz, 1593 MHz
