timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/23 08:20:39.825, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.832, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.841, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.848, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.854, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.862, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.868, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.875, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.882, 0 %, 32, 48, 46.83 W, 47.29 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.888, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.896, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.912, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.920, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.926, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.932, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.941, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.947, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.954, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.961, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.967, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.974, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.981, 0 %, 32, 48, 46.83 W, 46.78 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.987, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:39.996, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.011, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.019, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.026, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.032, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.040, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.046, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.052, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.060, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.067, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.073, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.081, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.087, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.096, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.116, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.122, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.134, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.141, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
2023/08/23 08:20:40.147, 0 %, 32, 48, 46.83 W, 46.75 W, 345 MHz, 1593 MHz
