timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/23 09:22:46.526, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.542, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.551, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.557, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.564, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.571, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.578, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.585, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.592, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.599, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.606, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.614, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.621, 0 %, 36, 51, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.638, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.645, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.652, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.659, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.666, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.673, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.680, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.686, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.693, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.700, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.706, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.714, 0 %, 36, 52, 48.32 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.720, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.739, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.746, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.754, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.761, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.770, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.777, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.783, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.791, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.797, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.804, 0 %, 36, 52, 48.33 W, 48.35 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.813, 0 %, 36, 52, 48.33 W, 48.26 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.826, 0 %, 36, 52, 48.33 W, 48.26 W, 345 MHz, 1593 MHz
2023/08/23 09:22:46.840, 0 %, 36, 52, 48.33 W, 48.26 W, 345 MHz, 1593 MHz
