timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/23 08:20:53.127, 0 %, 36, 51, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.135, 0 %, 36, 51, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.142, 0 %, 36, 51, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.149, 0 %, 36, 51, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.159, 0 %, 36, 51, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.166, 0 %, 36, 51, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.172, 0 %, 36, 51, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.180, 0 %, 36, 52, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.187, 0 %, 36, 51, 63.39 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.194, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.210, 0 %, 36, 52, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.219, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.226, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.233, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.241, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.248, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.255, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.262, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.269, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.275, 0 %, 36, 51, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.282, 0 %, 36, 52, 60.42 W, 48.35 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.289, 0 %, 36, 51, 60.42 W, 48.32 W, 375 MHz, 1593 MHz
2023/08/23 08:20:53.296, 0 %, 36, 51, 59.33 W, 48.32 W, 345 MHz, 1593 MHz
2023/08/23 08:20:53.314, 0 %, 36, 51, 59.33 W, 48.32 W, 345 MHz, 1593 MHz
