timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2023/08/23 11:31:08.130, 0 %, 53, 65, 53.57 W, 53.46 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.138, 0 %, 53, 66, 53.57 W, 53.46 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.145, 0 %, 53, 65, 53.57 W, 53.46 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.154, 0 %, 53, 66, 53.57 W, 53.46 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.160, 0 %, 53, 64, 53.57 W, 53.46 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.167, 0 %, 53, 65, 53.57 W, 53.46 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.175, 0 %, 53, 65, 53.57 W, 53.46 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.182, 0 %, 53, 65, 53.57 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.189, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.208, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.216, 0 %, 53, 65, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.222, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.231, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.238, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.245, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.254, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.261, 0 %, 53, 66, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.267, 0 %, 53, 65, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.274, 0 %, 53, 65, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.281, 0 %, 53, 65, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.288, 0 %, 53, 65, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.305, 0 %, 53, 65, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.314, 0 %, 53, 65, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.321, 0 %, 53, 64, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.327, 0 %, 53, 65, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.334, 0 %, 53, 64, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.341, 0 %, 53, 65, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.348, 0 %, 53, 66, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.355, 0 %, 53, 64, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.361, 0 %, 53, 64, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.367, 0 %, 53, 66, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.376, 0 %, 53, 64, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.383, 0 %, 53, 64, 53.48 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.390, 0 %, 53, 65, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.407, 0 %, 53, 65, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.415, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.422, 0 %, 53, 66, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.434, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.441, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.448, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.456, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.462, 0 %, 53, 64, 53.49 W, 53.43 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.468, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.504, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.514, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.521, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.528, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.535, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.542, 0 %, 53, 65, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.549, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.556, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.563, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.569, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.577, 0 %, 53, 64, 53.44 W, 53.40 W, 345 MHz, 1593 MHz
2023/08/23 11:31:08.584, 1 %, 53, 66, 53.44 W, 53.40 W, 1755 MHz, 1593 MHz
2023/08/23 11:31:08.607, 1 %, 54, 64, 53.44 W, 53.40 W, 1755 MHz, 1593 MHz
2023/08/23 11:31:08.614, 1 %, 54, 64, 53.44 W, 53.40 W, 1755 MHz, 1593 MHz
2023/08/23 11:31:08.620, 1 %, 54, 64, 53.44 W, 53.40 W, 1755 MHz, 1593 MHz
2023/08/23 11:31:08.627, 1 %, 54, 64, 53.44 W, 53.40 W, 1755 MHz, 1593 MHz
2023/08/23 11:31:08.634, 1 %, 54, 65, 53.44 W, 53.40 W, 1755 MHz, 1593 MHz
2023/08/23 11:31:08.640, 1 %, 54, 64, 53.44 W, 53.40 W, 1755 MHz, 1593 MHz
2023/08/23 11:31:08.647, 1 %, 54, 64, 53.44 W, 53.40 W, 1755 MHz, 1593 MHz
