timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2024/07/31 06:00:47.260, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.291, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.292, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.293, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.294, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.295, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.296, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.298, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.299, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.300, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.301, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.302, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.303, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.304, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.305, 0 %, 31, 40, 73.83 W, 74.38 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.306, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.307, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.308, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.309, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.311, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.312, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.313, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.314, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.315, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.316, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.317, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.318, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.319, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.320, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.321, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.323, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.324, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.325, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.326, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.327, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.328, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.329, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.330, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.331, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.332, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.333, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.335, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.336, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.337, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.338, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.339, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.340, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.341, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.342, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.343, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.344, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.345, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.347, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.348, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.349, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.350, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.351, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.352, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.353, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.354, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.355, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.356, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.358, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.359, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.360, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.361, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.362, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.363, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.364, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.365, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.366, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.367, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.368, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.370, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.371, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.372, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.373, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.374, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.375, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.376, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.377, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.378, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.379, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.380, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.382, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.383, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.384, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.385, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.386, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.387, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.388, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.389, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.390, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.391, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.392, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.394, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.395, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.396, 0 %, 31, 40, 73.82 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.397, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.398, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.399, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.400, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.401, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.402, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.403, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.404, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.406, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.407, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.408, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.409, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.410, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.411, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.412, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.413, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.414, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.415, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.417, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.418, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.419, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.420, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.421, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.422, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.423, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.424, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.425, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.426, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.427, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.429, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.430, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.431, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.432, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.433, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.434, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.435, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.436, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.437, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.438, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.439, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.441, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.442, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.443, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.444, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.445, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.446, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.447, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.448, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.449, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.450, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.451, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.453, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.454, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.455, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.456, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.457, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.458, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.459, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.460, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.461, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.462, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.463, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.465, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.466, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.467, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.468, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.469, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.470, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.471, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.472, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.473, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.474, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.475, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.477, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.478, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.479, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.480, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.481, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.482, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.483, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.484, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.485, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.486, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.487, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
2024/07/31 06:00:47.489, 0 %, 31, 40, 73.83 W, 73.41 W, 345 MHz, 2619 MHz
