timestamp, power.draw [W], clocks.current.sm [MHz]
2023/11/15 12:20:40.847, 49.12 W, 345 MHz
2023/11/15 12:20:40.851, 49.12 W, 345 MHz
2023/11/15 12:20:40.854, 49.12 W, 345 MHz
2023/11/15 12:20:40.857, 49.12 W, 345 MHz
2023/11/15 12:20:40.860, 49.12 W, 345 MHz
2023/11/15 12:20:40.863, 49.12 W, 345 MHz
2023/11/15 12:20:40.866, 49.12 W, 345 MHz
2023/11/15 12:20:40.869, 49.12 W, 345 MHz
2023/11/15 12:20:40.872, 49.12 W, 345 MHz
2023/11/15 12:20:40.876, 49.12 W, 345 MHz
2023/11/15 12:20:40.879, 49.12 W, 345 MHz
2023/11/15 12:20:40.882, 49.12 W, 345 MHz
2023/11/15 12:20:40.885, 49.12 W, 345 MHz
2023/11/15 12:20:40.888, 49.12 W, 345 MHz
2023/11/15 12:20:40.891, 49.11 W, 345 MHz
2023/11/15 12:20:40.894, 49.11 W, 345 MHz
2023/11/15 12:20:40.898, 49.11 W, 345 MHz
2023/11/15 12:20:40.903, 49.11 W, 345 MHz
2023/11/15 12:20:40.906, 49.11 W, 345 MHz
2023/11/15 12:20:40.909, 49.11 W, 345 MHz
2023/11/15 12:20:40.912, 49.11 W, 345 MHz
2023/11/15 12:20:40.916, 49.11 W, 345 MHz
2023/11/15 12:20:40.919, 49.11 W, 345 MHz
2023/11/15 12:20:40.922, 49.11 W, 345 MHz
2023/11/15 12:20:40.925, 49.11 W, 345 MHz
2023/11/15 12:20:40.928, 49.11 W, 345 MHz
2023/11/15 12:20:40.931, 49.11 W, 345 MHz
2023/11/15 12:20:40.934, 49.11 W, 345 MHz
2023/11/15 12:20:40.937, 49.11 W, 345 MHz
2023/11/15 12:20:40.940, 49.11 W, 345 MHz
2023/11/15 12:20:40.943, 49.11 W, 345 MHz
2023/11/15 12:20:40.946, 49.11 W, 345 MHz
2023/11/15 12:20:40.949, 49.11 W, 345 MHz
2023/11/15 12:20:40.952, 49.11 W, 345 MHz
2023/11/15 12:20:40.957, 49.11 W, 345 MHz
2023/11/15 12:20:40.960, 49.11 W, 345 MHz
2023/11/15 12:20:40.963, 49.11 W, 345 MHz
2023/11/15 12:20:40.966, 49.11 W, 345 MHz
2023/11/15 12:20:40.969, 49.11 W, 345 MHz
2023/11/15 12:20:40.972, 49.11 W, 345 MHz
2023/11/15 12:20:40.976, 49.11 W, 345 MHz
2023/11/15 12:20:40.979, 49.11 W, 345 MHz
2023/11/15 12:20:40.982, 49.11 W, 345 MHz
2023/11/15 12:20:40.985, 49.11 W, 345 MHz
2023/11/15 12:20:40.988, 49.11 W, 345 MHz
2023/11/15 12:20:40.991, 49.12 W, 345 MHz
2023/11/15 12:20:40.994, 49.12 W, 345 MHz
2023/11/15 12:20:40.998, 49.12 W, 345 MHz
2023/11/15 12:20:41.003, 49.12 W, 345 MHz
2023/11/15 12:20:41.006, 49.12 W, 345 MHz
2023/11/15 12:20:41.009, 49.12 W, 345 MHz
2023/11/15 12:20:41.012, 49.12 W, 345 MHz
2023/11/15 12:20:41.016, 49.12 W, 345 MHz
2023/11/15 12:20:41.019, 49.12 W, 345 MHz
2023/11/15 12:20:41.022, 49.12 W, 345 MHz
2023/11/15 12:20:41.025, 49.12 W, 345 MHz
2023/11/15 12:20:41.028, 49.12 W, 345 MHz
2023/11/15 12:20:41.031, 49.12 W, 345 MHz
2023/11/15 12:20:41.034, 49.12 W, 345 MHz
2023/11/15 12:20:41.037, 49.12 W, 345 MHz
2023/11/15 12:20:41.040, 49.12 W, 345 MHz
2023/11/15 12:20:41.043, 49.12 W, 345 MHz
2023/11/15 12:20:41.046, 49.12 W, 345 MHz
2023/11/15 12:20:41.049, 49.12 W, 345 MHz
2023/11/15 12:20:41.052, 49.12 W, 345 MHz
2023/11/15 12:20:41.056, 49.12 W, 345 MHz
2023/11/15 12:20:41.059, 49.12 W, 345 MHz
2023/11/15 12:20:41.062, 49.12 W, 345 MHz
2023/11/15 12:20:41.065, 49.12 W, 345 MHz
2023/11/15 12:20:41.068, 49.12 W, 345 MHz
2023/11/15 12:20:41.071, 49.12 W, 345 MHz
2023/11/15 12:20:41.074, 49.12 W, 345 MHz
2023/11/15 12:20:41.077, 49.12 W, 345 MHz
2023/11/15 12:20:41.080, 49.12 W, 345 MHz
2023/11/15 12:20:41.083, 49.12 W, 345 MHz
2023/11/15 12:20:41.086, 49.12 W, 345 MHz
2023/11/15 12:20:41.089, 49.12 W, 345 MHz
2023/11/15 12:20:41.092, 49.12 W, 345 MHz
2023/11/15 12:20:41.106, 49.12 W, 345 MHz
2023/11/15 12:20:41.109, 49.12 W, 345 MHz
2023/11/15 12:20:41.112, 49.12 W, 345 MHz
2023/11/15 12:20:41.115, 49.12 W, 345 MHz
2023/11/15 12:20:41.118, 49.12 W, 345 MHz
2023/11/15 12:20:41.121, 49.12 W, 345 MHz
2023/11/15 12:20:41.124, 49.12 W, 345 MHz
2023/11/15 12:20:41.127, 49.12 W, 345 MHz
2023/11/15 12:20:41.131, 49.12 W, 345 MHz
2023/11/15 12:20:41.134, 49.12 W, 345 MHz
2023/11/15 12:20:41.140, 49.12 W, 345 MHz
2023/11/15 12:20:41.143, 49.12 W, 345 MHz
2023/11/15 12:20:41.147, 49.12 W, 345 MHz
2023/11/15 12:20:41.150, 49.12 W, 345 MHz
2023/11/15 12:20:41.154, 49.12 W, 345 MHz
2023/11/15 12:20:41.158, 49.12 W, 345 MHz
2023/11/15 12:20:41.161, 49.12 W, 345 MHz
2023/11/15 12:20:41.180, 49.12 W, 345 MHz
2023/11/15 12:20:41.184, 49.12 W, 345 MHz
2023/11/15 12:20:41.187, 49.12 W, 345 MHz
2023/11/15 12:20:41.190, 49.12 W, 345 MHz
2023/11/15 12:20:41.194, 49.12 W, 345 MHz
2023/11/15 12:20:41.199, 49.12 W, 345 MHz
2023/11/15 12:20:41.204, 49.12 W, 345 MHz
2023/11/15 12:20:41.207, 49.12 W, 345 MHz
2023/11/15 12:20:41.211, 49.12 W, 345 MHz
2023/11/15 12:20:41.214, 49.12 W, 345 MHz
2023/11/15 12:20:41.217, 49.12 W, 345 MHz
2023/11/15 12:20:41.220, 49.12 W, 345 MHz
2023/11/15 12:20:41.224, 49.12 W, 1755 MHz
2023/11/15 12:20:41.230, 49.12 W, 1755 MHz
2023/11/15 12:20:41.233, 49.12 W, 1755 MHz
2023/11/15 12:20:41.239, 49.12 W, 1755 MHz
2023/11/15 12:20:41.241, 49.12 W, 1755 MHz
2023/11/15 12:20:41.244, 49.12 W, 1755 MHz
2023/11/15 12:20:41.247, 49.12 W, 1755 MHz
2023/11/15 12:20:41.250, 49.12 W, 1755 MHz
2023/11/15 12:20:41.252, 49.12 W, 1755 MHz
2023/11/15 12:20:41.255, 49.12 W, 1755 MHz
2023/11/15 12:20:41.258, 49.12 W, 1755 MHz
2023/11/15 12:20:41.261, 49.12 W, 1755 MHz
2023/11/15 12:20:41.264, 49.12 W, 1755 MHz
2023/11/15 12:20:41.267, 49.12 W, 1755 MHz
2023/11/15 12:20:41.269, 49.12 W, 1755 MHz
2023/11/15 12:20:41.272, 49.12 W, 1755 MHz
2023/11/15 12:20:41.275, 49.12 W, 1755 MHz
2023/11/15 12:20:41.278, 49.12 W, 1755 MHz
2023/11/15 12:20:41.281, 49.12 W, 1755 MHz
2023/11/15 12:20:41.284, 49.12 W, 1755 MHz
2023/11/15 12:20:41.286, 49.12 W, 1755 MHz
2023/11/15 12:20:41.289, 49.12 W, 1755 MHz
2023/11/15 12:20:41.292, 52.39 W, 1755 MHz
2023/11/15 12:20:41.295, 52.39 W, 1755 MHz
2023/11/15 12:20:41.299, 52.39 W, 1755 MHz
2023/11/15 12:20:41.307, 52.39 W, 1755 MHz
2023/11/15 12:20:41.309, 52.39 W, 1755 MHz
